Occupation,Level1Id,DescriptionLevel1
"OFFICE BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"POLICE SERGEANT",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"FISHMONGERS ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"COAL PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"ELECTRICIANS MATE",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CARMEN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"AT HOME",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DRESS MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"MATCHER DRAPERS",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
NURSE,10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"ERRAND GIRL",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PAPER BOY",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"RAILWAY SIGNALMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"ELECTRICAL INSTRUMENT MAKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"BAKER JOURNEYMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"LABOURER GENERAL",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"BOOK FOLDER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"MACHINE MINDER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"ENGINEER TOOL MAKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"WIG - MAKER",20,"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"RAILWAY ENGINE DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"DOMESTIC WIFE",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"ASSISTANT DRESSMAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"ASSURANCE AGENT",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"MECHANICAL ENGINEER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
LABUROUR,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"BOOK FOLDER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY LABOURER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"RAILWAY SHUNTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"RESTAURANT WAITRESS",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"MECHANICAL DRIVER TAXICAB",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SORTER G P O CIVIL SERVICE",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"HALL PORTER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"HOME DUTIES",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"FITTERS MATE",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BAKER JOURMEYMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
LABOURER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"NIGHT WATCHMAN AND POLICE PENSIONER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
APRENTICE,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
APRENTICE,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
LABOUR,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"BOOT REPAIRER",15,"PERSONS WORKING AND DEALING IN DRESS"
JOURNALIST,10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"RAILWAY GUARD",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"JUNIOR CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"COUNTER - HAND A B C",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"FACTORY - HAND PHONOGRAPH",14,"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"
"CHAUFFEUR DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
FLORIST,2,"PERSONS ENGAGED IN AGRICULTURE"
TYPIST,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"CABINET MAKER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"DRESSMAKERS CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"FIREMAN GAS WORKS",8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
"LABOURER GAS FITTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"DRESS MAKER'S APPRENTICE",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MILK CAPPMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
WHEELWRIGHT,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"DOMESTIC SERVANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"LAUNDRY HAND",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"LAUNDRY CALLENDER HAND",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"COMMERICAL MOTOR DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"COMPANION DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"SEWER FLUSHER",8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
"CAPSTAN MAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
MESSENGER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"LOCKING FITTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
IRONER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"PLUMBER ASSISTANT",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"GROCERS ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"MOTOR CAB DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"MOTOR CAB DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"RELIEF STAMPER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
PLUMBER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"APP BASKET MAKING",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TELEPHONE LABOURER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"RAILWAY SIGNALMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"POST OFFICE SORTER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"CLERK PARCELS",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"SUGGAGE PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
COACHMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"JOBBING HAND",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"DOMESTIC SERVANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"OFFICE BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DOMESTIC SERVANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"DOMESTIC SERVANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
FINISHER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
NEEDLEWOMAN,15,"PERSONS WORKING AND DEALING IN DRESS"
NEEDLEWOMAN,15,"PERSONS WORKING AND DEALING IN DRESS"
APPRENTICE,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
NEEDLEWOMAN,15,"PERSONS WORKING AND DEALING IN DRESS"
NEEDLEWOMAN,15,"PERSONS WORKING AND DEALING IN DRESS"
APPRENTICE,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
COMPOSITOR,18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
IRONER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"GAS FITTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
MANGLE,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"GOLD BEATER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
NEEDLEWORK,15,"PERSONS WORKING AND DEALING IN DRESS"
GROCER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"DOMESTIC SERVANT",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
IRONER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
IRONER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
IRONER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ARMY PENSIONER SOLDIER PRIVATE",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BOOT REPAIRE",15,"PERSONS WORKING AND DEALING IN DRESS"
COUCHBUILDER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"MOTOR BUS CONDUCTOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"MOTOR OMNIBUS CONDUCTOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"TAILOR MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"RAILWAY MESSENGER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"COACH BUILDER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
HAIRDRESSER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
POTMAN,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
LABOURER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"WIRE MAN",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
IRONER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"MUSIC ENGRAVER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"RAILWAY SERVANT",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"HORSE CAB DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"BRICKLAYER'S LABOURER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"PAINTERS LABOURER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BODY MAKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"WATCHMAKER AND JEWELLER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"RAILWAY CARMAN",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"GENERAL SERVANT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"PAPER HANGER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"BRASS FINISHER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"SWISS EMB NEEDLE THREADER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"DRAPER'S ASSISTANT",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
"NOT EMPLOYED FORMERLY ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"MOTHERS HELP",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BRASS FINISHER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"ENGINEERS FITTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"PROVISION WAREHOUSEMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"SHIPPING CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"MILLINERY SALESWOMAN",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DAIRYMAN,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"OMNIBUS YARD INSPECTOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"NURSE DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"STEEL SPECTACLE MAKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
CARPENTER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"ASSISTANT TIME KEEPER BUILDERS",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"JUNIOR CLERK AUCTIONEERS",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"BRICKLAYERS LABOURER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"FOREMAN HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"PLUMMERS MATE",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"RAILWAY CLERK",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CASHIER,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"LETTER SORTER",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
BAKER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
ASSISTANT,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"BAR MAID",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"POLICE PENSIONER NIGHT WATCHMAN",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"TEA AGENT",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"ASSISTANT TO FATHER",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CARMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOLAR,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TAILORERS LADY",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"FURNITURE PACKER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"BOOK KEEPER CONTRACTORS",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"SIGNAL BOX BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"COMMERCIAL CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
